"등록일","시도","시군구","업종","축종","영업상태","개소","규모","동수"
20180401,"충청남도","충청남도 연기군","부화업                        "," ","정상",5,1046,6
20180401,"충청남도","충청남도 홍성군","부화업                        "," ","정상",3,500,1
20180401,"전라북도","전라북도 군산시","부화업                        "," ","폐업",1,0,0
20180401,"전라북도","전라북도 익산시","부화업                        "," ","정상",13,0,0
20180401,"전라북도","전라북도 무주군","부화업                        "," ","정상",1,165,2
20180401,"전라남도","전라남도 담양군","부화업                        "," ","폐업",2,0,0
20180401,"전라남도","전라남도 영암군","부화업                        "," ","말소",1,0,0
20180401,"전라남도","전라남도 영암군","부화업                        "," ","정상",2,0,0
20180401,"전라남도","전라남도 무안군","부화업                        "," ","정상",6,0,0
20180401,"경상북도","경상북도 경주시","부화업                        "," ","휴업",1,0,0
20180401,"경상북도","경상북도 영주시","부화업                        "," ","정상",2,0,0
20180401,"경상북도","경상북도 성주군","부화업                        "," ","정상",1,0,0
20180401,"충청북도","충청북도 보은군","가축사육업                    ","젖소","말소",2,3325.25,8
20180401,"경기도","경기도 평택시","가축사육업                    ","육우","말소",12,2464.8,16
20180401,"경상북도","경상북도 상주시","가축사육업                    ","육우","말소",2,547.04,3
20180401,"전라북도","전라북도 진안군","가축사육업                    ","젖소","폐업",4,5583.52,10
20180401,"충청북도","충청북도 증평군","가축사육업                    ","산란계","정상",1,2535,6
20180401,"경상남도","경상남도 양산시","가축사육업                    ","젖소","말소",9,1371.13,14
20180401,"경상남도","경상남도 사천시","가축사육업                    ","돼지","말소",1,39.9,1
20180401,"경상북도","경상북도 의성군","가축사육업                    ","육계","휴업",2,4499.5,9
20180401,"경상북도","경상북도 포항시","가축사육업                    ","한우","휴업",4,1676,5
20180401,"경상북도","경상북도 문경시","가축사육업                    ","젖소","정상",23,29374.21,95
20180401,"인천광역시","인천광역시 남동구","가축사육업                    ","산란계","정상",3,1462,6
20180401,"강원도","강원도 평창군","가축사육업                    ","육계","폐업",5,402.67,5
20180401,"전라남도","전라남도 장성군","가축사육업                    ","산란계","휴업",1,1024.95,7
20180401,"부산광역시","부산광역시 강서구","가축사육업                    ","육우","정상",3,976.5,4
20180401,"경상북도","경상북도 예천군","가축사육업                    ","칠면조","정상",1,48,1
20180401,"경기도","경기도 안산시","가축사육업                    ","한우","폐업",9,4374.96,15
20180401,"충청남도","충청남도 금산군","가축사육업                    ","젖소","폐업",4,4976,19
20180401,"경상북도","경상북도 영주시","가축사육업                    ","오리","폐업",3,2636.15,10
20180401,"충청북도","충청북도 증평군","가축사육업                    ","육계","정상",10,22824.13,40
20180401,"경상북도","경상북도 구미시","가축사육업                    ","사슴","정상",2,2430.5,9
20180401,"경상북도","경상북도 문경시","가축사육업                    ","사슴","정상",1,305.1,1
20180401,"충청남도","충청남도 보령시","가축사육업                    ","사슴","폐업",7,1504,7
20180401,"강원도","강원도 인제군","가축사육업                    ","산란계","정상",6,8404.94,22
20180401,"전라남도","전라남도 여수시","가축사육업                    ","염소","정상",5,3369.94,4
20180401,"경상북도","경상북도 봉화군","가축사육업                    ","염소","정상",3,10140.48,4
20180401,"인천광역시","인천광역시 중구","가축사육업                    ","오리","폐업",1,608,2
20180401,"충청남도","충청남도 예산군","가축사육업                    ","육우","말소",2,390,2
20180401,"충청남도","충청남도 홍성군","가축사육업                    ","돼지","말소",3,5645.11,13
20180401,"경상남도","경상남도 김해시","가축사육업                    ","염소","폐업",1,148.5,3
20180401,"전라북도","전라북도 장수군","가축사육업                    ","젖소","정상",3,3187,6
